ORSPL,PLANT_NAME,rggi,Low_Income,PRIME_MOVER,Year,fuel
335,AES Huntington Beach LLC,0,0,ST,1995,Natural Gas
341,Long Beach Generation LLC,0,1,CC,1995,Natural Gas
341,Long Beach Generation LLC,0,1,GT,1995,
341,Long Beach Generation LLC,0,1,ST,1995,
50837,Southeast Resource Recovery,0,1,ST,1995,
56051,THUMS,0,1,GT,1995,
345,Mandalay,0,0,GT,1995,Oil
345,Mandalay,0,0,ST,1995,Natural Gas
56471,McGrath Peaker,0,0,GT,1995,
350,Ormond Beach,0,1,ST,1995,Natural Gas
50224,Oxnard Wastewater Treatment Plant,0,1,IC,1995,
57585,Oxnard Paper Mill,0,1,GT,1995,
356,AES Redondo Beach LLC,0,0,ST,1995,Natural Gas
358,Mountainview Generating Station,0,0,CC,1995,
358,Mountainview Generating Station,0,0,ST,1995,Natural Gas
375,Magnolia,0,0,CC,1995,
375,Magnolia,0,0,GT,1995,Natural Gas
375,Magnolia,0,0,ST,1995,Natural Gas
375,Magnolia,0,0,ST,1995,Natural Gas
6013,Olive,0,0,GT,1995,
6013,Olive,0,0,GT,1995,
6013,Olive,0,0,ST,1995,Natural Gas
7987,Lake One,0,0,GT,1995,
56046,Magnolia Power Project,0,0,CC,1995,
377,Grayson,0,1,CC,1995,Natural Gas
377,Grayson,0,1,CC,1995,Natural Gas
377,Grayson,0,1,GT,1995,Natural Gas
377,Grayson,0,1,GT,1995,Natural Gas
377,Grayson,0,1,ST,1995,Natural Gas
377,Grayson,0,1,ST,1995,Natural Gas
383,Brawley,0,1,GT,1995,
384,Joliet 29,0,1,ST,1995,Coal
389,El Centro,0,1,CC,1995,Natural Gas
389,El Centro,0,1,ST,1995,Natural Gas
399,Harbor,0,1,CC,1995,
399,Harbor,0,1,GT,1995,Natural Gas
399,Harbor,0,1,GT,1995,Natural Gas
404,Scattergood,0,0,CC,1995,
404,Scattergood,0,0,GT,1995,
404,Scattergood,0,0,ST,1995,Natural Gas
10048,Central Utilities Plant LAX,0,0,GT,1995,
58258,Central Utilities Plant LAX 2,0,0,GT,1995,
406,Tok,0,1,IC,1995,Oil
7169,Northway,0,1,IC,1995,
408,Valley (CA),0,1,CC,1995,
408,Valley (CA),0,1,GT,1995,
408,Valley (CA),0,1,ST,1995,Natural Gas
56533,Bradley Gas Recovery,0,1,IC,1995,
420,Broadway (CA),0,0,ST,1995,Natural Gas
422,Glenarm,0,0,GT,1995,Natural Gas
421,Craig (AK),0,0,IC,1995,Oil
7466,Klawock,0,0,IC,1995,
56146,False Island,0,0,IC,1995,
56147,Viking,0,0,IC,1995,
423,Hydaburg,0,1,IC,1995,Oil
7414,Thorne Bay Plant,0,1,IC,1995,
7464,Kake,0,1,IC,1995,
460,Pueblo,0,1,IC,1995,
460,Pueblo,0,1,ST,1995,Natural Gas
462,W N Clark,0,0,ST,1995,Coal
462,W N Clark,0,0,ST,1995,Coal
464,Alamosa,0,1,GT,1995,Natural Gas
464,Alamosa,0,1,GT,1995,Natural Gas
465,Arapahoe,0,1,ST,1995,Coal
55200,Arapahoe Combustion Turbine Project,0,1,CC,1995,
55200,Arapahoe Combustion Turbine Project,0,1,GT,1995,
55200,Arapahoe Combustion Turbine Project,0,1,ST,1995,
468,Cameo,0,1,ST,1995,Coal
468,Cameo,0,1,ST,1995,Coal
469,Cherokee,0,1,CC,1995,
469,Cherokee,0,1,IC,1995,
469,Cherokee,0,1,ST,1995,Coal
470,Comanche (CO),0,1,ST,1995,Coal
471,Fruita,0,0,GT,1995,Natural Gas
471,Fruita,0,0,GT,1995,Natural Gas
477,Valmont,0,1,GT,1995,Natural Gas
477,Valmont,0,1,ST,1995,Coal
55207,Valmont Combustion Turbine Project,0,1,GT,1995,
478,Zuni,0,1,ST,1995,Natural Gas
490,Burlington City of,0,1,IC,1995,
6619,Burlington (CO),0,1,GT,1995,Oil
491,Center,0,1,IC,1995,
492,Martin Drake,0,1,ST,1995,Coal
493,George Birdsall,0,1,ST,1995,Natural Gas
7730,SECC,0,1,IC,1995,
496,Delta (CO),0,1,IC,1995,Natural Gas
502,Holly,0,1,IC,1995,
504,Julesburg,0,1,IC,1995,
506,La Junta,0,1,IC,1995,
508,Lamar Plant,0,1,GT,1995,
508,Lamar Plant,0,1,IC,1995,
508,Lamar Plant,0,1,ST,1995,Natural Gas
508,Lamar Plant,0,1,ST,1995,Natural Gas
511,Trinidad (CO),0,1,IC,1995,Oil
511,Trinidad (CO),0,1,ST,1995,Coal
524,Yuma,0,1,IC,1995,
525,Hayden,0,0,ST,1995,Coal
527,Nucla,0,1,ST,1995,Coal
527,Nucla,0,1,ST,1995,Coal
533,McWilliams,0,0,CC,1995,
533,McWilliams,0,0,CC,1995,
535,McClellan (CA),0,1,GT,1995,Natural Gas
542,Cos Cob,1,0,GT,1995,Oil
542,Cos Cob,1,0,GT,1995,Oil
544,Devon Station,1,0,GT,1995,Oil
544,Devon Station,1,0,GT,1995,Oil
544,Devon Station,1,0,ST,1995,Natural Gas
55126,Milford Power Project,1,0,CC,1995,
57070,GenConn Devon LLC,1,0,GT,1995,
546,Montville Station,1,0,IC,1995,Oil
546,Montville Station,1,0,ST,1995,Oil
50801,Uncasville Mill,1,0,ST,1995,
548,NRG Norwalk Harbor,1,0,GT,1995,
548,NRG Norwalk Harbor,1,0,ST,1995,Oil
557,Tunnel,1,0,GT,1995,Oil
10646,Covanta Southeastern Connecticut Company,1,0,ST,1995,
561,Franklin Drive,1,1,GT,1995,Oil
562,Middletown,1,0,GT,1995,Oil
562,Middletown,1,0,ST,1995,Oil
56798,Kleen Energy Systems Project,1,0,CC,1995,
57068,GenConn Middletown LLC,1,0,GT,1995,
58176,Connecticut Valley Hospital Plant,1,0,CC,1995,
563,South Meadow,1,1,GT,1995,Oil
54945,CT Resource Rec Authority Facility,1,1,ST,1995,
564,Stanton Energy Center,0,0,CC,1995,
564,Stanton Energy Center,0,0,ST,1995,Coal
55821,Curtis H Stanton Energy Center,0,0,CC,1995,
565,Torrington Terminal,1,1,GT,1995,Oil
568,Bridgeport Station,1,1,GT,1995,Oil
568,Bridgeport Station,1,1,IC,1995,
568,Bridgeport Station,1,1,ST,1995,Coal
55042,Bridgeport Energy Project,1,1,CC,1995,
589,J C McNeil,1,1,ST,1995,Biomass
591,Christiana,1,1,GT,1995,Oil
592,Delaware City 10,1,0,GT,1995,Oil
52193,Delaware City Plant,1,0,CC,1995,
52193,Delaware City Plant,1,0,GT,1995,
52193,Delaware City Plant,1,0,GT,1995,
52193,Delaware City Plant,1,0,ST,1995,
52193,Delaware City Plant,1,0,ST,1995,
593,Edge Moor,1,0,GT,1995,Oil
593,Edge Moor,1,0,ST,1995,Coal
7153,Hay Road,1,0,CC,1995,Natural Gas
597,West Station (DE),1,1,GT,1995,Oil
599,McKee Run,1,1,ST,1995,Natural Gas
599,McKee Run,1,1,ST,1995,Natural Gas
