ORSPL,PLANT_NAME,PRIME_MOVER,UNIT_SIZE,FUEL_TYPE,rggi,Low_Income,FIRST_YEAR_OF_OPERATION,MAJ_FUEL_1995,MAJ_FUEL_1996,MAJ_FUEL_1997,MAJ_FUEL_1998,MAJ_FUEL_1999,MAJ_FUEL_2000,MAJ_FUEL_2001,MAJ_FUEL_2002,MAJ_FUEL_2003,MAJ_FUEL_2004,MAJ_FUEL_2005,MAJ_FUEL_2006,MAJ_FUEL_2007,MAJ_FUEL_2008,MAJ_FUEL_2009,MAJ_FUEL_2010,MAJ_FUEL_2011,MAJ_FUEL_2012,MAJ_FUEL_2013,MAJ_FUEL_2014,MAJ_FUEL_2015,MAJ_FUEL_2016
1146,Harlan,IC,<25,Oil,0,0,2001,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1149,Independence (IA),IC,<25,Oil,0,0,1949,Natural Gas,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,,
59379,Wapsie Valley Creamery Back Up Generator,IC,<25,-,0,0,2015,,,,,,,,,,,,,,,,,,,,,,
1150,Indianola,GT,<25,Oil,0,1,1946,,,Oil,Oil,,,,,Oil,Oil,Oil,Oil,Oil,,,,,,,,,
1150,Indianola,IC,<25,Natural Gas,0,1,1946,,,,Natural Gas,,,,,Natural Gas,,Natural Gas,Natural Gas,,,,,,,,,,
1153,Lake Park,IC,<25,Oil,0,0,1950,,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,,Oil,Oil,Oil,Oil,Oil,
1154,Lake Mills,IC,<25,Oil,0,0,1956,Natural Gas,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
56521,Lake Mills Gas Recovery,IC,<25,-,0,0,2006,,,,,,,,,,,,,,,,,,,,,,
1155,Lamoni Municipal Utilities,IC,<25,Oil,0,1,1940,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1156,La Porte,IC,<25,Oil,0,0,1956,Oil,Oil,Oil,,,,,,Oil,Oil,,Oil,Oil,Oil,,Oil,Oil,Oil,Oil,Oil,Oil,
1157,Laurens,IC,<25,Oil,0,1,1951,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1158,Lenox,IC,<25,Oil,0,1,1948,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,,,Oil,Oil,Oil,
1160,Manning,IC,<25,Oil,0,0,1928,,,,,,,,,,,,,,,,,,Oil,,,,
1162,Maquoketa 1,IC,<25,Natural Gas,0,1,1938,Natural Gas,Natural Gas,Natural Gas,,,,,,Oil,Oil,Oil,Oil,Natural Gas,Natural Gas,,,,Natural Gas,,,,
7921,Maquoketa 2,IC,<25,Oil,0,1,2001,,,,,,,,,Oil,Oil,,,Oil,,,,,,,,,
1163,McGregor,IC,<25,Oil,0,1,1941,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1164,Milford,IC,<25,Oil,0,1,1938,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1165,Montezuma,IC,<25,Oil,0,0,1940,Natural Gas,,Natural Gas,,,,,,Oil,Oil,Oil,Oil,Natural Gas,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1166,Mt Pleasant,IC,<25,Oil,0,0,1966,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1166,Mt Pleasant,ST,<25,Natural Gas,0,0,1966,Natural Gas,Natural Gas,Natural Gas,,,,,,,,,,,,,,,,,,,
1167,Muscatine Plant #1,ST,<25,Coal,0,0,1958,Coal,Coal,Coal,Coal,Coal,Coal,,,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
1167,Muscatine Plant #1,ST,>=25,Coal,0,0,1958,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
1168,New Hampton,IC,<25,Natural Gas,0,0,1967,Natural Gas,Natural Gas,Natural Gas,,,,,,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Natural Gas,
1169,Ogden,IC,<25,Oil,0,0,1951,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,Oil,
1172,Osage (IA),IC,<25,Natural Gas,0,0,1963,Oil,Oil,Oil,,,,,,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Natural Gas,Natural Gas,,,
1175,Pella,ST,<25,Coal,0,0,1964,Coal,Coal,Coal,Coal,,,,,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,,,,
1175,Pella,ST,>=25,Coal,0,0,1964,Coal,Coal,Coal,Coal,,,,,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,,,,
1176,Preston (IA),IC,<25,Oil,0,0,1968,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Natural Gas,Oil,Oil,,,
1177,Primghar,IC,<25,Oil,0,0,1938,,,,,,,,,Oil,Oil,Oil,Oil,Oil,,,,,,,,,
1180,Rockford,IC,<25,Oil,0,0,1951,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,Oil,Oil,,
1181,Rock Rapids,IC,<25,Oil,0,0,1968,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1184,Sibley One,IC,<25,Oil,0,0,1971,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
7060,Sibley No Two,IC,<25,Natural Gas,0,0,1987,,,,,,,,,Natural Gas,Natural Gas,Oil,Oil,Oil,,Oil,Oil,Oil,Oil,Oil,Natural Gas,Natural Gas,
1186,Spencer Gas Turbine,GT,<25,Oil,0,1,1970,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,Oil,,
1187,State Center,IC,<25,Natural Gas,0,0,1972,,,,,,,,,Oil,Natural Gas,Oil,Oil,Natural Gas,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Natural Gas,
1188,Story City,IC,<25,Oil,0,0,1964,,,,,,,,,Oil,Oil,Oil,Natural Gas,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1189,Strawberry Point,IC,<25,Oil,0,0,1937,Natural Gas,Oil,Oil,,,,,,,,,,,,,,,,,,,
7926,South Strawberry,IC,<25,Oil,0,0,2002,,,,,,,,,Oil,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,
1190,Stuart (IA),IC,<25,Oil,0,0,1956,Natural Gas,Natural Gas,Oil,,,,,,Oil,Natural Gas,Natural Gas,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,Oil,Oil,
1191,Sumner,IC,<25,Oil,0,0,1956,Natural Gas,Natural Gas,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1192,Traer Main,IC,<25,Natural Gas,0,0,1963,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,
7920,Traer South,IC,<25,Oil,0,0,2001,,,,,,,,,Oil,Oil,Oil,Oil,Oil,,Oil,Oil,Oil,,,,,
56025,Traer East,IC,<25,Oil,0,0,2004,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,,,
1193,Villisca Municipal Power Plant,IC,<25,Oil,0,0,1936,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1194,Vinton,IC,<25,Natural Gas,0,1,1946,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Oil,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,,,,
1198,Webster City,GT,<25,Oil,0,1,1972,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1198,Webster City,GT,>=25,Oil,0,1,1972,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1199,West Bend,IC,<25,Oil,0,0,1954,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Oil,Natural Gas,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1200,West Liberty,GT,<25,Oil,0,0,1948,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1200,West Liberty,IC,<25,Oil,0,0,1948,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Natural Gas,Oil,Oil,Oil,Oil,Oil,
1201,Whittemore,IC,<25,Natural Gas,0,0,1946,,,,,,,,,Oil,Natural Gas,,Natural Gas,,,,,,,,,,
1202,Wilton,IC,<25,Oil,0,0,1958,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1203,Winterset,IC,<25,Natural Gas,0,1,1956,Natural Gas,Natural Gas,Oil,,,,,,Natural Gas,Natural Gas,Natural Gas,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1206,Summit Lake,CC,<25,Natural Gas,0,0,1948,Oil,Oil,Oil,Oil,Oil,Oil,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1206,Summit Lake,CC,>=25,Natural Gas,0,0,1948,Oil,Oil,Oil,Oil,Oil,Oil,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1206,Summit Lake,IC,<25,Oil,0,0,1948,Oil,Oil,Oil,Oil,Oil,Oil,,,Oil,Oil,Oil,Oil,,,,,,,,,,
1217,Earl F Wisdom,GT,>=25,Natural Gas,0,0,1960,,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
1217,Earl F Wisdom,ST,>=25,Natural Gas,0,0,1960,Coal,Coal,Coal,Coal,Coal,Coal,Natural Gas,Natural Gas,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Natural Gas,Natural Gas
1218,Fair Station,ST,>=25,Coal,0,0,1960,Coal,Coal,Coal,Coal,Coal,Coal,,,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,,,
1224,Bird City,IC,<25,Oil,0,0,1965,,,,,,,,,,,,,,Oil,Oil,Oil,Oil,,,,,
1321,St Francis,IC,<25,Natural Gas,0,0,1953,Natural Gas,Natural Gas,,,,,,,Natural Gas,,Oil,Oil,Natural Gas,Oil,Oil,Oil,Oil,Natural Gas,Natural Gas,,,
1225,Colby,GT,<25,Natural Gas,0,0,1970,Natural Gas,,,,,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,
1272,Colby City of,IC,<25,Oil,0,0,1958,Natural Gas,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1230,Cimarron River,GT,<25,Natural Gas,0,1,1963,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1230,Cimarron River,ST,>=25,Natural Gas,0,1,1963,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
58192,Arkalon Ethanol LLC,ST,<25,Natural Gas,0,1,2008,,,,,,,,,,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1233,Fort Dodge,ST,>=25,Natural Gas,0,0,1969,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
1235,Great Bend - Sunflower,ST,>=25,Natural Gas,0,0,1963,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,
1239,Riverton,CC,>=25,Natural Gas,0,0,1950,,,,,,,,,,,,,,,,,,,,,,Natural Gas
1239,Riverton,GT,<25,Natural Gas,0,0,1950,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
1239,Riverton,GT,>=25,Natural Gas,0,0,1950,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
1239,Riverton,ST,>=25,Coal,0,0,1950,Coal,Coal,Coal,Coal,Coal,Coal,,,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,,,,
1240,Gordon Evans Energy Center,GT,>=25,Natural Gas,0,0,1961,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
1240,Gordon Evans Energy Center,IC,<25,Oil,0,0,1961,,,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil
1240,Gordon Evans Energy Center,ST,>=25,Natural Gas,0,0,1961,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
1242,Murray Gill,ST,>=25,Natural Gas,0,0,1952,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
50169,Wichita Plant,GT,>=25,Natural Gas,0,0,1982,,,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,
1243,Neosho,ST,>=25,Natural Gas,0,0,1954,,,,,,Natural Gas,,,Oil,,,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,,,,,
1248,Hutchinson Energy Center,GT,>=25,Natural Gas,0,0,1950,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
1248,Hutchinson Energy Center,IC,<25,Oil,0,0,1950,,,,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil
1248,Hutchinson Energy Center,ST,<25,Natural Gas,0,0,1950,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Oil,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1248,Hutchinson Energy Center,ST,>=25,Natural Gas,0,0,1950,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Oil,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1250,Lawrence Energy Center,ST,>=25,Coal,0,0,1952,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
1251,Abilene Energy Center Combustion Turbine,GT,>=25,Natural Gas,0,0,1973,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,
1252,Tecumseh Energy Center,GT,>=25,Natural Gas,0,0,1957,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,,,
1252,Tecumseh Energy Center,ST,>=25,Coal,0,0,1957,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal,Coal
1258,Anthony,IC,<25,Natural Gas,0,1,1972,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1259,Ashland,IC,<25,Oil,0,0,1953,Oil,Oil,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
1260,Attica,IC,<25,Natural Gas,0,1,1954,,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,Oil,Natural Gas,Natural Gas,,,,
1261,Augusta Electric Plant No 1,IC,<25,Natural Gas,0,1,1929,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,,,,,,,,,,,,,
6791,Augusta Electric Plant No 2,IC,<25,Natural Gas,0,1,1968,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,,,,,,,
1262,Baldwin City Plant No 1,IC,<25,Natural Gas,0,0,1956,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Oil,Oil,Natural Gas,Oil,Oil,Oil,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
8020,Baldwin City Plant No 2,IC,<25,Natural Gas,0,0,2004,,,,,,,,,,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1263,Belleville,IC,<25,Oil,0,0,1946,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Oil,
1264,Beloit,IC,<25,Natural Gas,0,1,1950,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Oil,Natural Gas,Natural Gas,
1265,Burlingame,IC,<25,Natural Gas,0,0,1951,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1266,Burlington (KS),IC,<25,Oil,0,0,1935,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Oil,Oil,Natural Gas,Oil,,,,Oil,Oil,,Oil,Oil,
1267,Chanute 1,IC,<25,-,0,1,1949,,,,,,,,,,,,,,,,,,,,,,
1267,Chanute 1,ST,<25,-,0,1,1949,,,,,,,,,,,,,,,,,,,,,,
1268,Chanute 2,GT,>=25,Natural Gas,0,1,1965,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1268,Chanute 2,IC,<25,Natural Gas,0,1,1965,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1270,Clay Center,IC,<25,Natural Gas,0,0,1942,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,
1270,Clay Center,ST,<25,Natural Gas,0,0,1942,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,,,,,,,,,,,,,
1274,Ellinwood,IC,<25,Oil,0,0,1948,Natural Gas,Natural Gas,Natural Gas,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,
1275,Ellis,IC,<25,-,0,0,1947,,,,,,,,,,,,,,,,,,,,,,
1276,Erie,IC,<25,Oil,0,0,1953,,,,,,,,,Oil,Oil,Oil,Oil,Oil,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,
7766,Erie Energy Center,IC,<25,Oil,0,0,1999,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,Oil,Oil,
1278,Garnett Municipal,IC,<25,Oil,0,0,1930,Natural Gas,Natural Gas,Natural Gas,,,,,,,Oil,Oil,Oil,,,,,,,,,Oil,
59383,"East Kansas Agri-Energy, LLC",ST,<25,-,0,0,2005,,,,,,,,,,,,,,,,,,,,,,
1279,Girard,IC,<25,Natural Gas,0,1,1955,,,,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1280,Goodland,IC,<25,Natural Gas,0,0,1939,Natural Gas,Natural Gas,Natural Gas,,,,,,,Natural Gas,,,,,,,,,,,,
1283,Herington,IC,<25,Oil,0,1,1947,Oil,Natural Gas,Oil,,,,,,Oil,Oil,Oil,Oil,Oil,,Oil,Oil,Oil,Oil,,,,
1286,Hoisington,IC,<25,Natural Gas,0,1,1940,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Oil,Oil,,Natural Gas,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,
1287,Holton,IC,<25,Natural Gas,0,0,1958,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,Natural Gas,
1289,Hugoton 1,IC,<25,Oil,0,1,1949,Natural Gas,Natural Gas,Natural Gas,,,,,,Oil,,,,,,,,,,,,,
7011,Hugoton 2,IC,<25,Natural Gas,0,1,1964,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
58613,ABBK Biomass Plant,ST,<25,Natural Gas,0,1,2013,,,,,,,,,,,,,,,,,,,Biomass,,Natural Gas,
1291,Iola,IC,<25,Natural Gas,0,1,1949,Oil,Oil,Oil,Oil,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1291,Iola,ST,<25,Natural Gas,0,1,1949,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,,,,,,,
1292,Jetmore,IC,<25,Oil,0,0,1946,,,,,,,,,,,,Oil,Oil,Oil,Oil,Oil,Oil,Oil,Oil,,Oil,
1296,Kingman Municipal Power and Light Plant,IC,<25,Natural Gas,0,0,1953,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
1298,Gas Turbine (KS),GT,<25,-,0,0,1955,,,,,,,,,,,,,,,,,,,,,,
1299,Larned,IC,<25,Oil,0,0,1939,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Oil,Oil,Natural Gas,Oil,Oil,,Oil,,Oil,,,,
1299,Larned,ST,<25,Natural Gas,0,0,1939,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,,,,,,,,,,,,,
1300,Lincoln,IC,<25,Oil,0,1,1958,Oil,Oil,Oil,,,,,,Oil,,Natural Gas,,,,,,Oil,Oil,Oil,Oil,Oil,
1305,McPherson 2,GT,>=25,Natural Gas,0,0,1963,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas
1305,McPherson 2,ST,>=25,Natural Gas,0,0,1963,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,,,,,,,,,,
1306,Meade,IC,<25,Natural Gas,0,0,1951,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Oil,,Natural Gas,
1307,Minneapolis City of,IC,<25,Natural Gas,0,0,1936,Natural Gas,Natural Gas,Natural Gas,,,,,,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,Natural Gas,
